"ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALTHM","AVERAGETHM"
"94038",2,2019,"Gas- Commercial","Y",0,0,NA
"94040",1,2019,"Gas- Commercial","Y",0,0,NA
"94040",3,2019,"Gas- Commercial","Y",0,0,NA
"94041",2,2019,"Gas- Commercial","Y",0,0,NA
"94043",1,2019,"Gas- Commercial","Y",1563,1252487,801
"94043",3,2019,"Gas- Commercial","Y",1559,1122422,720
"94044",2,2019,"Gas- Commercial","Y",308,98855,321
"94061",1,2019,"Gas- Commercial","Y",393,185540,472
"94061",3,2019,"Gas- Commercial","Y",0,0,NA
"94062",2,2019,"Gas- Commercial","Y",0,0,NA
"94063",1,2019,"Gas- Commercial","N",1023,580588,568
"94063",3,2019,"Gas- Commercial","N",1034,567692,549
"94065",2,2019,"Gas- Commercial","Y",0,0,NA
"94066",1,2019,"Gas- Commercial","Y",0,0,NA
"94066",3,2019,"Gas- Commercial","Y",0,0,NA
"94070",2,2019,"Gas- Commercial","N",974,296073,304
"94080",1,2019,"Gas- Commercial","Y",2328,2152445,925
"94080",3,2019,"Gas- Commercial","Y",1789,1708613,955
"94085",2,2019,"Gas- Commercial","Y",0,0,NA
"94086",1,2019,"Gas- Commercial","Y",0,0,NA
"94086",3,2019,"Gas- Commercial","Y",0,0,NA
"94087",2,2019,"Gas- Commercial","Y",0,0,NA
"94089",1,2019,"Gas- Commercial","Y",0,0,NA
"94089",3,2019,"Gas- Commercial","Y",0,0,NA
"94102",2,2019,"Gas- Commercial","N",464,366938,791
"94103",1,2019,"Gas- Commercial","N",1111,513061,462
"94103",3,2019,"Gas- Commercial","N",1112,491151,442
"94104",2,2019,"Gas- Commercial","N",65,77314,1189
"94105",1,2019,"Gas- Commercial","N",175,286338,1636
"94105",3,2019,"Gas- Commercial","N",179,298962,1670
"94107",2,2019,"Gas- Commercial","Y",808,530391,656
"94108",1,2019,"Gas- Commercial","N",457,188094,412
"94108",3,2019,"Gas- Commercial","N",459,188096,410
"94109",2,2019,"Gas- Commercial","N",671,354538,528
"94110",1,2019,"Gas- Commercial","N",1064,322854,303
"94110",3,2019,"Gas- Commercial","N",1070,309427,289
"94111",2,2019,"Gas- Commercial","N",253,394986,1561
"94112",1,2019,"Gas- Commercial","Y",692,258001,373
"94112",3,2019,"Gas- Commercial","Y",696,258611,372
"94114",2,2019,"Gas- Commercial","Y",919,282246,307
"94115",1,2019,"Gas- Commercial","N",478,234124,490
"94115",3,2019,"Gas- Commercial","N",476,231458,486
"94116",2,2019,"Gas- Commercial","Y",0,0,NA
"94117",1,2019,"Gas- Commercial","Y",0,0,NA
"94117",3,2019,"Gas- Commercial","Y",0,0,NA
"94118",2,2019,"Gas- Commercial","Y",621,332626,536
"94121",1,2019,"Gas- Commercial","Y",0,0,NA
"94121",3,2019,"Gas- Commercial","Y",0,0,NA
"94122",2,2019,"Gas- Commercial","Y",1138,338422,297
"94123",1,2019,"Gas- Commercial","N",489,132038,270
"94123",3,2019,"Gas- Commercial","N",489,131751,269
"94124",2,2019,"Gas- Commercial","Y",873,317579,364
"94127",1,2019,"Gas- Commercial","Y",0,0,NA
"94127",3,2019,"Gas- Commercial","Y",0,0,NA
"94128",2,2019,"Gas- Commercial","Y",0,0,NA
"94129",1,2019,"Gas- Commercial","Y",0,0,NA
"94129",3,2019,"Gas- Commercial","Y",0,0,NA
"94131",2,2019,"Gas- Commercial","Y",0,0,NA
"94132",1,2019,"Gas- Commercial","N",151,84731,561
"94132",3,2019,"Gas- Commercial","N",153,80362,525
"94133",2,2019,"Gas- Commercial","N",597,262079,439
"94134",1,2019,"Gas- Commercial","Y",0,0,NA
"94134",3,2019,"Gas- Commercial","Y",0,0,NA
"94158",2,2019,"Gas- Commercial","Y",0,0,NA
"94303",1,2019,"Gas- Commercial","Y",0,0,NA
"94303",3,2019,"Gas- Commercial","Y",0,0,NA
"94304",2,2019,"Gas- Commercial","Y",0,0,NA
"94305",1,2019,"Gas- Commercial","Y",0,0,NA
"94305",3,2019,"Gas- Commercial","Y",0,0,NA
"94306",2,2019,"Gas- Commercial","Y",0,0,NA
"94401",1,2019,"Gas- Commercial","N",659,253433,385
"94401",3,2019,"Gas- Commercial","N",660,230349,349
"94402",2,2019,"Gas- Commercial","N",280,191589,684
"94403",1,2019,"Gas- Commercial","Y",767,826925,1078
"94403",3,2019,"Gas- Commercial","Y",772,810134,1049
"94404",2,2019,"Gas- Commercial","Y",0,0,NA
"94501",1,2019,"Gas- Commercial","N",733,268030,366
"94501",3,2019,"Gas- Commercial","N",740,258895,350
"94502",2,2019,"Gas- Commercial","Y",0,0,NA
"94503",1,2019,"Gas- Commercial","Y",0,0,NA
"94503",3,2019,"Gas- Commercial","Y",0,0,NA
"94505",2,2019,"Gas- Commercial","Y",0,0,NA
"94506",1,2019,"Gas- Commercial","Y",0,0,NA
"94506",3,2019,"Gas- Commercial","Y",128,79092,618
"94507",2,2019,"Gas- Commercial","Y",0,0,NA
"94508",1,2019,"Gas- Commercial","Y",0,0,NA
"94508",3,2019,"Gas- Commercial","Y",0,0,NA
"94509",2,2019,"Gas- Commercial","Y",0,0,NA
"94510",1,2019,"Gas- Commercial","N",547,164124,300
"94510",3,2019,"Gas- Commercial","N",548,131005,239
"94513",2,2019,"Gas- Commercial","Y",1149,382241,333
"94514",1,2019,"Gas- Commercial","Y",0,0,NA
"94514",3,2019,"Gas- Commercial","Y",0,0,NA
"94515",2,2019,"Gas- Commercial","Y",0,0,NA
"94517",1,2019,"Gas- Commercial","Y",0,0,NA
"94517",3,2019,"Gas- Commercial","Y",0,0,NA
"94518",2,2019,"Gas- Commercial","Y",466,124234,267
"94519",1,2019,"Gas- Commercial","Y",0,0,NA
"94519",3,2019,"Gas- Commercial","Y",0,0,NA
"94520",2,2019,"Gas- Commercial","Y",3042,1463439,481
"94521",1,2019,"Gas- Commercial","Y",0,0,NA
"94521",3,2019,"Gas- Commercial","Y",0,0,NA
"94523",2,2019,"Gas- Commercial","Y",0,0,NA
"94525",1,2019,"Gas- Commercial","Y",0,0,NA
"94525",3,2019,"Gas- Commercial","Y",0,0,NA
"94526",2,2019,"Gas- Commercial","Y",0,0,NA
"94528",1,2019,"Gas- Commercial","Y",0,0,NA
"94528",3,2019,"Gas- Commercial","Y",0,0,NA
"94530",2,2019,"Gas- Commercial","Y",0,0,NA
"94531",1,2019,"Gas- Commercial","Y",487,231900,476
"94531",3,2019,"Gas- Commercial","Y",399,128994,323
"94533",2,2019,"Gas- Commercial","Y",1379,948070,688
"94534",1,2019,"Gas- Commercial","N",352,229089,651
"94534",3,2019,"Gas- Commercial","N",354,189070,534
"94535",2,2019,"Gas- Commercial","Y",0,0,NA
"94536",1,2019,"Gas- Commercial","Y",0,0,NA
"94536",3,2019,"Gas- Commercial","Y",0,0,NA
"94538",2,2019,"Gas- Commercial","Y",1848,1271200,688
"94539",1,2019,"Gas- Commercial","Y",0,0,NA
"94539",3,2019,"Gas- Commercial","Y",508,180937,356
"94541",2,2019,"Gas- Commercial","N",715,213184,298
