"ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"93740",1,2019,"Elec- Commercial","Y",0,0,NA
"93740",3,2019,"Elec- Commercial","Y",0,0,NA
"93901",2,2019,"Elec- Commercial","Y",2221,9776211,4402
"93905",1,2019,"Elec- Commercial","N",607,3627099,5975
"93905",3,2019,"Elec- Commercial","N",609,3353595,5507
"93906",2,2019,"Elec- Commercial","N",706,5526981,7829
"93907",1,2019,"Elec- Commercial","N",714,3207384,4492
"93907",3,2019,"Elec- Commercial","N",711,2851819,4011
"93908",2,2019,"Elec- Commercial","Y",0,0,NA
"93920",1,2019,"Elec- Commercial","Y",0,0,NA
"93920",3,2019,"Elec- Commercial","Y",0,0,NA
"93921",2,2019,"Elec- Commercial","N",364,1027840,2824
"93923",1,2019,"Elec- Commercial","Y",1012,4536010,4482
"93923",3,2019,"Elec- Commercial","Y",1073,4617495,4303
"93924",2,2019,"Elec- Commercial","Y",0,0,NA
"93925",1,2019,"Elec- Commercial","Y",0,0,NA
"93925",3,2019,"Elec- Commercial","Y",0,0,NA
"93926",2,2019,"Elec- Commercial","Y",258,836931,3244
"93927",1,2019,"Elec- Commercial","Y",349,1734561,4970
"93927",3,2019,"Elec- Commercial","Y",0,0,NA
"93930",2,2019,"Elec- Commercial","Y",489,2360767,4828
"93932",1,2019,"Elec- Commercial","Y",0,0,NA
"93932",3,2019,"Elec- Commercial","Y",0,0,NA
"93933",2,2019,"Elec- Commercial","N",517,3060634,5920
"93940",1,2019,"Elec- Commercial","Y",2412,16997770,7047
"93940",3,2019,"Elec- Commercial","Y",2422,16091190,6644
"93944",2,2019,"Elec- Commercial","Y",0,0,NA
"93950",1,2019,"Elec- Commercial","Y",0,0,NA
"93950",3,2019,"Elec- Commercial","Y",0,0,NA
"93953",2,2019,"Elec- Commercial","Y",0,0,NA
"93955",1,2019,"Elec- Commercial","N",790,4745470,6007
"93955",3,2019,"Elec- Commercial","N",784,4341456,5538
"93960",2,2019,"Elec- Commercial","Y",625,2559627,4095
"94002",1,2019,"Elec- Commercial","N",717,4222607,5889
"94002",3,2019,"Elec- Commercial","N",714,4165895,5835
"94005",2,2019,"Elec- Commercial","N",311,3915584,12590
"94010",1,2019,"Elec- Commercial","N",1360,11187142,8226
"94010",3,2019,"Elec- Commercial","N",1348,10257452,7609
"94014",2,2019,"Elec- Commercial","N",793,5245237,6614
"94015",1,2019,"Elec- Commercial","N",504,6490546,12878
"94015",3,2019,"Elec- Commercial","N",504,6386667,12672
"94019",2,2019,"Elec- Commercial","N",463,2310683,4991
"94020",1,2019,"Elec- Commercial","Y",0,0,NA
"94020",3,2019,"Elec- Commercial","Y",0,0,NA
"94021",2,2019,"Elec- Commercial","Y",0,0,NA
"94022",1,2019,"Elec- Commercial","Y",0,0,NA
"94022",3,2019,"Elec- Commercial","Y",0,0,NA
"94024",2,2019,"Elec- Commercial","Y",0,0,NA
"94025",1,2019,"Elec- Commercial","Y",1804,23174146,12846
"94025",3,2019,"Elec- Commercial","Y",1429,20411139,14284
"94027",2,2019,"Elec- Commercial","Y",0,0,NA
"94028",1,2019,"Elec- Commercial","Y",0,0,NA
"94028",3,2019,"Elec- Commercial","Y",0,0,NA
"94030",2,2019,"Elec- Commercial","Y",444,3244066,7306
"94035",1,2019,"Elec- Commercial","Y",0,0,NA
"94035",3,2019,"Elec- Commercial","Y",0,0,NA
"94038",2,2019,"Elec- Commercial","Y",0,0,NA
"94040",1,2019,"Elec- Commercial","Y",0,0,NA
"94040",3,2019,"Elec- Commercial","Y",0,0,NA
"94041",2,2019,"Elec- Commercial","Y",0,0,NA
"94043",1,2019,"Elec- Commercial","Y",1955,59814082,30595
"94043",3,2019,"Elec- Commercial","Y",2596,69180425,26649
"94044",2,2019,"Elec- Commercial","Y",625,2744462,4391
"94060",1,2019,"Elec- Commercial","Y",0,0,NA
"94060",3,2019,"Elec- Commercial","Y",0,0,NA
"94061",2,2019,"Elec- Commercial","N",387,2160396,5582
